,order_id,tracking_number,date_creation,date_shipping,shipper,history,Shipping_Status,Expected_Arrival,Arrival_Status
20,34530704,5052533371,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  brussels-belgium'), ('2023-11-10', 'Processed at brussels-belgium'), ('2023-11-10', 'Shipment has departed from a dhl facility brussels-belgium'), ('2023-11-10', 'Arrived at dhl sort facility  marseille-france'), ('2023-11-10', 'Processed at marseille-france'), ('2023-11-10', 'Shipment has departed from a dhl facility marseille-france'), ('2023-11-10', 'Arrived at dhl delivery facility  nice-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Awaiting collection by the consignee'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-13,On Time
21,34531004,5052534034,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-09', 'Processed at east midlands-united kingdom'), ('2023-11-10', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  paris-france'), ('2023-11-10', 'Processed at paris-france'), ('2023-11-10', 'Shipment has departed from a dhl facility paris-france'), ('2023-11-10', 'Arrived at dhl delivery facility  le havre-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Delivery attempted but no response at consignee address'), ('2023-11-10', 'Awaiting collection by the consignee'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-13,On Time
22,34531377,4905306011,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  brussels-belgium'), ('2023-11-10', 'Processed at brussels-belgium'), ('2023-11-10', 'Shipment has departed from a dhl facility brussels-belgium'), ('2023-11-10', 'Arrived at dhl sort facility  bordeaux-france'), ('2023-11-10', 'Processed at bordeaux-france'), ('2023-11-10', 'Shipment has departed from a dhl facility bordeaux-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Awaiting collection by the consignee'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-13,On Time
23,34532081,4196534440,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-10', 'Processed at dublin-ireland, republic of'), ('2023-11-10', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-11', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-11', 'Processed at leipzig-germany'), ('2023-11-11', 'Scheduled to depart on the next planned movement'), ('2023-11-12', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-13', 'Arrived at dhl delivery facility  hamburg-germany'), ('2023-11-13', 'Shipment is out with courier for delivery'), ('2023-11-13', 'Delivery attempt could not be completed'), ('2023-11-14', 'Arrived at dhl delivery facility  hamburg-germany'), ('2023-11-14', 'Processed at hamburg-germany'), ('2023-11-14', 'Shipment is out with courier for delivery'), ('2023-11-14', 'Delivery attempted but no response at consignee address'), ('2023-11-14', 'Awaiting collection by the consignee'), ('2023-11-15', 'Awaiting collection by the consignee'), ('2023-11-15', 'Delivered')]",Shipped On Time,2023-11-13,On Time
24,34532235,1Z0438R96894175552,2023-11-08,2023-11-09,UPS,"[('2023-11-09', 'Shipper created a label, ups has not received the package yet. '), ('2023-11-09', 'Collection scan '), ('2023-11-10', 'Origin scan'), ('2023-11-10', 'Departed from facility'), ('2023-11-10', 'Arrived at facility'), ('2023-11-11', 'Departed from facility'), ('2023-11-11', 'Arrived at facility'), ('2023-11-13', 'Out for delivery today'), ('2023-11-13', 'We tried to deliver to the business, but it was closed. a second attempt will be made the next business day.'), ('2023-11-13', 'Processing at ups facility'), ('2023-11-14', 'Delivered ')]",Shipped On Time,2023-11-13,On Time
25,34537091,4905310045,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-10', 'Processed at dublin-ireland, republic of'), ('2023-11-10', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-11', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-11', 'Processed at leipzig-germany'), ('2023-11-11', 'Scheduled to depart on the next planned movement'), ('2023-11-12', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-13', 'Arrived at dhl delivery facility  berlin-germany'), ('2023-11-13', 'Processed at berlin-germany'), ('2023-11-13', 'Shipment is out with courier for delivery'), ('2023-11-13', 'Delivered')]",Shipped On Time,2023-11-13,On Time
26,34537963,5052481490,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  brussels-belgium'), ('2023-11-10', 'Processed at brussels-belgium'), ('2023-11-10', 'Shipment has departed from a dhl facility brussels-belgium'), ('2023-11-10', 'Arrived at dhl sort facility  lille-france'), ('2023-11-10', 'Arrived at dhl delivery facility  lille-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-13,On Time
27,34539909,5052500972,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-10', 'Processed at dublin-ireland, republic of'), ('2023-11-10', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-11', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-11', 'Processed at leipzig-germany'), ('2023-11-11', 'Scheduled to depart on the next planned movement'), ('2023-11-11', 'Shipment is on hold'), ('2023-11-12', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-13', 'Arrived at dhl sort facility  lyon-france'), ('2023-11-13', 'Processed at lyon-france'), ('2023-11-13', 'Shipment has departed from a dhl facility lyon-france'), ('2023-11-13', 'Arrived at dhl delivery facility  lyon-france'), ('2023-11-13', 'Shipment is out with courier for delivery'), ('2023-11-13', 'Delivered')]",Shipped On Time,2023-11-13,On Time
28,34541677,4905320066,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-09', 'Processed at east midlands-united kingdom'), ('2023-11-10', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  paris-france'), ('2023-11-10', 'Shipment has departed from a dhl facility paris-france'), ('2023-11-10', 'Arrived at dhl delivery facility  paris-france'), ('2023-11-10', 'Processed at paris-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Delivery attempted – consignee premises closed'), ('2023-11-13', 'Shipment is out with courier for delivery'), ('2023-11-13', 'Delivered')]",Shipped On Time,2023-11-13,On Time
29,34541776,4905307982,2023-11-08,2023-11-09,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment is in transit to destination'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-10', 'Processed at east midlands-united kingdom'), ('2023-11-10', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-10', 'Arrived at dhl sort facility  vitoria-spain'), ('2023-11-10', 'Processed at vitoria-spain'), ('2023-11-10', 'Shipment has departed from a dhl facility vitoria-spain'), ('2023-11-10', 'Arrived at dhl delivery facility  biarritz-france'), ('2023-11-10', 'Arrived at dhl sort facility  biarritz-france'), ('2023-11-10', 'Shipment is out with courier for delivery'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-13,On Time
